state_name,district_name,block_tehsil_name,village_name,ref_village_type_name,major_medium_scheme,major_medium_scheme_name,geographical_area,cultivable_area,net_sown_area,gross_irrigated_area_kharif_season,gross_irrigated_area_rabi_season,gross_irrigated_area_perennial_season,gross_irrigated_area_other_season,gross_irrigated_area_total,net_irrigated_area,avg_ground_water_level_pre_monsoon,avg_ground_water_level_post_monsoon,ref_selection_wua_exists_name
TAMIL NADU,NAGAPATTINAM,VEDARNIYAM,SEMBODAI,Non-Tribal,No,NA,975,852,832,0,3,3,0,6,6,6,7,Not Known
TAMIL NADU,NAGAPATTINAM,VEDARNIYAM,NEIVILAKU,Non-Tribal,No,NA,360,213,147,0,13,2,0,15,15,2,5,Not Known
TAMIL NADU,NAGAPATTINAM,THALAINAYAR,UMPALACHERI,Non-Tribal,No,NA,563,375,362,233,129,13,0,375,362,1,4,No
TAMIL NADU,TIRUNELVELI,KALAKAD,MELA MALAIYANERI,Non-Tribal,No,NA,5948,450,203,70,90,43,0,203,203,30,30,No
TAMIL NADU,TIRUNELVELI,KALAKAD,TIRUVARANGANERI,Non-Tribal,No,NA,1785,1050,268,15,25,18,0,58,58,10,10,No
TAMIL NADU,TIRUNELVELI,KALAKAD,ALANGULAM,Non-Tribal,No,NA,1498,519,356,14,19,2,0,35,35,10,10,No
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,KARUPPANDURAI,Non-Tribal,No,NA,95,92,41,16,10,0,15,41,41,10,16,Yes
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,MELAPALAYAM,Non-Tribal,No,NA,543,383,152,1,0,1,0,2,2,5,5,Not Known
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,KULAVANIGARPURAM,Non-Tribal,No,NA,287,147,72,12,51,9,0,72,72,12,12,No
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,NADUKKAMUDAIYARKULAM,Non-Tribal,No,NA,90,70,50,0,0,50,0,50,50,15,19,Yes
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,THIMMARAJAPURAM,Non-Tribal,No,NA,303,218,151,30,15,106,0,151,151,15,18,Yes
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,VELLAKOIL,Non-Tribal,No,NA,213,198,196,195,0,1,0,196,196,10,14,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,ALAMELUPURAM,Non-Tribal,No,NA,654,325,247,100,50,50,30,230,230,65,75,No
TAMIL NADU,THANJAVUR,THIRUVONAM,KAVALI PATTI,Non-Tribal,No,NA,788,643,410,140,140,60,0,340,340,10,10,Not Known
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,BOTHAKADU,Non-Tribal,No,NA,150,100,85,45,20,10,10,85,85,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,B.PALLIPATTI,Non-Tribal,No,NA,245,160,120,40,40,10,30,120,120,50,60,No
TAMIL NADU,MADURAI,MADURAI WEST,PODUMBU BIT I,Non-Tribal,No,NA,33,27,27,19,6,2,0,27,27,3,7,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,GOUNDAMPATTI,Tribal,No,NA,154,144,15,10,5,0,0,15,15,10,15,Yes
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,PAALAYAMKOTTAI III,Non-Tribal,No,NA,256,130,42,20,20,2,0,42,42,1,1,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,MANJAVADI,Non-Tribal,No,NA,154,144,80,40,30,10,0,80,80,24,25,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,MADATHAHALLI,Non-Tribal,No,NA,145,100,80,40,40,0,0,80,80,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,GUNDALAMADUVU,Non-Tribal,No,NA,150,50,40,20,20,0,0,40,40,20,21,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,KOZHIMEKKANUR,Non-Tribal,No,NA,140,100,80,40,20,20,0,80,80,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,SINGIRIHALLI,Non-Tribal,No,NA,256,198,150,60,20,10,10,100,100,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,MALLAPURAM,Non-Tribal,No,NA,100,80,50,15,15,10,10,50,50,8,9,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,ELANTHAKUTTAPATTI,Non-Tribal,No,NA,150,100,80,40,20,20,0,80,80,10,15,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,CHINNAMANJAVADI,Non-Tribal,No,NA,134,100,98,74,10,14,0,98,98,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,BUDDIREDDIPATTI,Non-Tribal,No,NA,150,100,90,45,45,0,0,90,90,24,25,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,BOMMIDI,Non-Tribal,No,NA,234,190,155,80,50,20,5,155,155,30,45,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,KOKKARAPATTI,Non-Tribal,No,NA,180,150,120,80,40,0,0,120,120,10,20,No
TAMIL NADU,COIMBATORE,KINATHUKADAVU,KURUNALLIPALAYAM,Tribal,Yes,PAP,828,485,485,62,62,350,11,485,485,100,100,No
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,VELLALAVAYAL,Non-Tribal,No,NA,249,112,93,0,93,0,0,93,93,45,50,No
TAMIL NADU,TIRUNELVELI,KALAKAD,OOCHIKULAM,Non-Tribal,No,NA,3043,1021,866,40,40,9,0,89,89,15,15,No
TAMIL NADU,TIRUNELVELI,KALAKAD,MAKILADI,Non-Tribal,No,NA,352,281,265,68,133,60,0,261,261,18,18,No
TAMIL NADU,THE NILGIRIS,COONOOR,MELUR - II,Tribal,No,NA,10932,10788,980,5,5,970,0,980,980,5,5,No
TAMIL NADU,VELLORE,PERNAMBUT,DEVALAPURAM,Non-Tribal,No,NA,138,78,68,9,4,54,0,67,67,1,2,No
TAMIL NADU,THANJAVUR,THIRUPANANDAL,KATTANAGARAM,Non-Tribal,No,NA,211,184,176,59,114,42,0,215,170,30,45,No
TAMIL NADU,KANYAKUMARI,AGASTEESWARAM,ALAGAPPAPURAM,Non-Tribal,No,NA,733,509,509,10,0,373,0,383,383,8,10,Yes
TAMIL NADU,THANJAVUR,KUMBAKONAM,KOVILACHERY,Non-Tribal,No,NA,242,150,144,28,130,1,0,159,138,22,27,No
TAMIL NADU,KANYAKUMARI,AGASTEESWARAM,KOTTARAM EAST,Non-Tribal,No,NA,616,325,325,0,67,169,0,236,236,8,10,Yes
TAMIL NADU,NAGAPATTINAM,THALAINAYAR,KOVILPATHI,Non-Tribal,No,NA,56,32,31,0,0,12,0,12,12,8,10,No
