Ward number ,Ward Name,Number of Connectionss,Consumption in ML
1,Kempegowda Ward,4125,114.70
2,Chowdeshwari Ward,456,10.90
3,Attur,5911,187.01
4,Yelahanka Satellite town,7710,415.53
5,Jakkur,3686,117.07
6,Thanisandra,2739,56.83
7,Byatarayanapura,9646,321.35
8,Kodigehalli,5312,145.84
9,Vidyaranyapura,12933,425.62
10,Doddabommasandra,1806,28.09
11,Kuvempunagar,4321,64.69
12,Shettyhalli,6599,129.36
13,Mallasandra,4475,80.07
14,Bagalagunte,8716,234.67
14,sidedahalli,1447,30.21
15,T. Dasarahalli,4558,172.25
16,Jalahalli,3106,101.22
17,J.P.Park,5728,130.19
18,Radhakrishna Temple Ward,5517,104.81
19,Sanjaynagar,5795,83.49
20,Ganganagar,3321,76.76
21,Hebbal,7423,171.61
22,VishwanathNagenahalli,3273,85.78
23,Nagavara,9013,199.59
24,HBR Layout,8000,251.42
25,Horamavu,5195,95.32
26,Ramamurthynagar,9245,259.71
27,Banasawadi,9565,292.73
28,Kammanahalli,6629,187.25
29,Kacharakanahalli,4843,140.21
30,Kadugondanahalli,5207,137.32
31,Kushalnagar,3141,57.32
32,Kavalbyrasandra,5575,117.82
33,Manorayanapalya,2646,58.59
34,Gangenahalli,2319,53.63
35,Aramane Nagar,2945,81.55
36,Mathikere,4132,93.11
37,Yeshwanthpur,3184,66.86
38,H.M.T,3651,144.79
39,Chokkasandra,5777,154.95
40,Doddabidirakalu,1,0.00
41,Peenya Industrial Area,6934,206.45
42,Lakshmidevinagar,5139,115.56
43,Nandini Layout,6431,162.55
44,Marappanahalli,4440,128.20
45,Malleshwaram,3649,111.08
46,Jayachamarajendra Nagar,5311,200.64
47,Devarajeevanahalli,3756,79.63
48,Muneshwaranagar,2190,36.97
49,Lingarajapura,5704,98.90
50,Benniganahalli,5873,393.16
51,Vijinapura,6164,130.30
52,K.R.Puram,8758,166.47
53,Basavanapura,7839,180.35
54,Hoodi,5061,311.37
55,Devasandra,3181,85.56
56,A. Narayanapura,8391,230.23
57,C.V. Ramannagar,3235,98.70
58,Hosathippasandra,6011,165.38
59,Maruthiseva Nagar,5621,164.06
60,Sagayapuram,4404,100.83
61,S.K. Garden,2886,83.86
62,Ramaswamy palya,3129,83.76
63,Jayamahal,3068,124.91
64,Rajamahal,3690,95.26
65,Kadumalleshwara,5599,164.13
66,Subramanyanagar,4279,131.37
67,Nagapura,5780,189.79
68,Mahalakshmipuram,5083,138.51
