Ward number ,Ward Name,Number of Connectionss,Consumption in ML
1,Kempegowda Ward,4218,112.883906
2,Chowdeshwari Ward,460,9.808984
3,Attur,6109,170.257709
4,Yelahanka Satellite town,7741,405.676363
5,Jakkur,3752,108.076916
6,Thanisandra,3568,53.430968
7,Byatarayanapura,9681,300.193673
8,Kodigehalli,5334,134.167843
9,Vidyaranyapura,12942,413.181715
10,Doddabommasandra,1821,28.410926
11,Kuvempunagar,4395,65.055924
12,Shettyhalli,7363,140.510895
13,Mallasandra,4505,74.839848
14,Bagalagunte,8761,232.996703
14,sidedahalli,1530,40.214991
15,T. Dasarahalli,4567,145.757728
16,Jalahalli,3105,94.738711
17,J.P.Park,5734,130.249564
18,Radhakrishna Temple Ward,5520,100.244418
19,Sanjaynagar,5805,85.176647
20,Ganganagar,3328,72.917677
21,Hebbal,7455,168.077498
22,VishwanathNagenahalli,3277,79.76684
23,Nagavara,9052,198.719715
24,HBR Layout,8075,240.231719
25,Horamavu,6532,122.770924
26,Ramamurthynagar,9330,263.872784
27,Banasawadi,9609,288.539625
28,Kammanahalli,6628,183.093704
29,Kacharakanahalli,4861,134.685729
30,Kadugondanahalli,5210,138.964754
31,Kushalnagar,3137,58.157739
32,Kavalbyrasandra,5576,112.744608
33,Manorayanapalya,2664,59.735868
34,Gangenahalli,2322,48.011764
35,Aramane Nagar,2953,79.791557
36,Mathikere,4135,90.985492
37,Yeshwanthpur,3208,61.783584
38,H.M.T,3654,137.555591
39,Chokkasandra,5811,140.930617
40,Doddabidirakalu,1,-2.00E-06
41,Peenya Industrial Area,7549,195.207224
42,Lakshmidevinagar,5141,105.117626
43,Nandini Layout,6437,154.325416
44,Marappanahalli,4439,124.247324
45,Malleshwaram,3652,105.58145
46,Jayachamarajendra Nagar,5320,181.330459
47,Devarajeevanahalli,3766,80.001968
48,Muneshwaranagar,2197,37.13181
49,Lingarajapura,5721,95.288697
50,Benniganahalli,5855,367.850544
51,Vijinapura,6196,129.934883
52,K.R.Puram,8831,168.301882
53,Basavanapura,8086,188.70491
54,Hoodi,5137,315.296895
55,Devasandra,3223,81.481933
56,A. Narayanapura,8396,228.107695
57,C.V. Ramannagar,3244,81.322603
58,Hosathippasandra,6020,151.458424
59,Maruthiseva Nagar,5577,161.298277
60,Sagayapuram,4406,98.364688
61,S.K. Garden,2880,79.395742
62,Ramaswamy palya,3129,78.750696
63,Jayamahal,3072,119.963553
64,Rajamahal,3692,92.203438
65,Kadumalleshwara,5601,157.508054
66,Subramanyanagar,4280,121.23062
67,Nagapura,5780,176.13729
68,Mahalakshmipuram,5090,119.764729
69,Laggere,10212,248.021244
70,Rajagopalanagar,8244,201.164368
71,Hegganahalli,8643,241.877364
72,herohalli,10672,206.230903
73,Kottigepalya,8452,204.271573
74,Shakthiganapathi nagar,6108,161.789599
75,Shankaramata,5206,148.415701
76,Gayathrinagar,4371,118.492529
77,Dattathreya Temple,4480,115.808363
78,Pulikeshinagar,3576,118.685301
79,Sarvagnanagar,3434,79.998555
80,Hoysalanagar,5465,154.061095
81,Vignananagar,7018,199.512806
82,Garudacharpalya,4339,188.172849
83,Kadugodi,937,46.608975
84,Hagadooru,1998,123.214916
85,Doddanekkundi,5600,349.213803
85,Varthur,1000,90.128999
86,Marathalli,4592,158.856624
87,HAL Airport,4369,93.435892
88,Jeevanbhimanagar,6008,152.305768
89,Jogupalya,4071,128.261486
90,Ulsoor,5605,327.026064
91,Bharathinagar,2232,96.06074
92,Shivajinagar,5135,208.052563
93,Vasanthnagar,3732,253.786112
94,Gandhinagar,4770,384.449458
95,Subhashnagar,3091,59.783722
96,Okalipuram,3419,131.033607
97,Dayanandanagar,3496,84.843577
98,Prakashnagar,3074,82.649624
99,Rajajinagar,3920,115.832573
100,Basaveshwaranagar,5763,172.070536
101,Kamakshipalya,3682,95.97975
102,Vrushabhavathi Nagar,4171,99.551777
103,Kaveripura,5037,108.619788
104,Govindrajnagara,2877,67.934803
105,Agrahara Dasarahalli,3209,93.150714
106,Dr. Rajkumar Ward,2469,85.758641
107,Shivanagar,2454,88.380684
108,Srirammandira ward,4675,118.221152
109,Chikpet,5597,113.139306
110,Sampangiramnagar,3008,132.975356
111,Shanthala Nagar,3775,234.345048
112,Dommalur,4756,198.061445
113,Konena Agrahara,3932,131.062724
114,Agaram,2928,157.703739
115,Vannarpet,5170,108.512011
116,Neelasandra,2639,63.21267
117,Shanthinagar,6210,246.346237
118,Sudamnagar,5143,102.94595
119,Dharmarayaswamy Temple Ward,4968,99.841961
120,Cottonpet,3063,63.654457
121,Binnypet,4568,105.210713
122,Kempapura Agrahara,3892,88.038879
123,Vijaynagar,3600,93.564817
124,Hosahalli,4507,117.534827
125,Marenahalli,3389,94.15481
126,Maruthi Mandira Ward,4021,101.675819
127,Moodalapalya,5843,134.363714
128,Nagarabhavi,10830,260.820342
129,Jnanabharathi ward,13787,333.93756
130,Ullalu,9012,193.315846
131,Nayandanahalli,4349,124.739735
132,Attiguppe,5472,173.85573
133,Hampinagar,3027,84.487917
134,Bapujinagar,4458,132.311846
135,Padarayanapura,2027,73.043915
136,Jagareevanram Nagar,4827,131.270654
137,Rayapuram,3459,81.732898
138,Chalavadipalya,2391,55.790851
139,K.R. Market,2928,54.062027
140,Chamrajpet,4785,165.876273
141,Azadnagar,4026,109.803729
142,Sunkenahalli,2893,66.158773
143,Vishweshrapuram,4732,122.120172
144,Siddapura,4483,127.001971
145,Hombegowdanagar,6521,199.944646
146,Lakkasandra,2834,95.688479
147,Adugodi,3410,108.204782
148,Ejipura,4786,138.668628
149,Varthur,3304,167.414887
150,Bellandur,4766,334.916877
151,Koramangala,7146,290.214217
152,Sudduguntepalya,4073,144.292601
153,Jayanagar,340,9.71594
153,Jayangar,3643,168.700485
154,Basavanagudi,5792,137.534205
155,Hanumanthanagar,4137,88.739762
156,Srinagar,5672,143.67676
157,Gali Anjaneya swamy Temple Ward,5382,138.8667
158,Deepanjali Nagar,2933,77.106885
159,Kengeri,14453,290.123297
160,Rajarajeshwarinagar,16297,454.761435
161,Hosakerehalli,7363,168.984706
162,Girinagar,7733,192.095687
163,Katriguppe,6518,146.495708
164,Vidyapeetha Ward,4754,108.01665
165,Ganeshmandira Ward,4494,111.421596
166,Karisandra,4636,121.137637
167,Yadiyuru,4395,108.17055
168,Pattabhiramnagar,4302,151.57331
169,Byrasandra,3839,117.212586
170,Jayanagar East,3888,104.894709
171,Gurappanapalya,4061,185.442721
172,Madiwala,5570,173.184595
173,Jakkasandra,2855,126.029759
174,HSR Layout,14105,572.166949
175,Bommanahalli,6504,297.594763
176,BTM Layout,7549,258.409435
177,J.P.Nagar,5613,176.659589
178,Sarakki,5619,177.153531
179,Shakambarinagar,3774,113.19858
180,Banashankari Temple Ward,5171,120.24768
181,Kumaraswamy Layout,8364,269.272627
182,Padmanabhanagar,6036,184.283748
183,Chikkallasandra,5170,132.392797
184,Uttarahalli,9119,327.472837
185,Yelachenahalli,6523,198.628751
186,Jaraganahalli,3043,83.844829
187,Puttenahalli,4605,155.1418
188,Bilekahalli,4393,254.096835
189,Hongasandra,8314,352.880862
190,Mangammanapalya,3214,91.500888
191,Singasandra,3620,135.718974
191,Singsandra,952,38.057957
192,Begur,6490,316.796943
193,Arakere,9995,362.9845
194,Gottigere,3671,99.342945
195,Konanakunte,10054,298.778588
196,Anjanapura,7857,285.093835
197,Vasanthapura,4315,153.019933
198,Hemmigepura,4120,95.993893
