Ward number ,Ward Name,Number of Connectionss,Consumption in ML
1,Kempegowda Ward,4216,117.162903
2,Chowdeshwari Ward,460,9.834984
3,Attur,6021,172.740708
4,Yelahanka Satellite town,7738,394.049364
5,Jakkur,3701,106.378915
6,Thanisandra,3254,58.276968
7,Byatarayanapura,9677,293.991676
8,Kodigehalli,5326,129.718842
9,Vidyaranyapura,12937,413.968716
10,Doddabommasandra,1815,27.946927
11,Kuvempunagar,4379,64.060929
12,Shettyhalli,6941,141.255896
13,Mallasandra,4488,75.69585
14,Bagalagunte,8755,235.373706
14,sidedahalli,1484,35.449991
15,T. Dasarahalli,4563,154.369729
16,Jalahalli,3106,96.624712
17,J.P.Park,5734,123.920567
18,Radhakrishna Temple Ward,5518,99.818419
19,Sanjaynagar,5805,81.705648
20,Ganganagar,3323,75.431677
21,Hebbal,7440,166.686508
22,VishwanathNagenahalli,3273,81.647843
23,Nagavara,9030,198.581714
24,HBR Layout,8045,254.881725
25,Horamavu,5956,111.875924
26,Ramamurthynagar,9275,258.446783
27,Banasawadi,9588,290.771626
28,Kammanahalli,6629,187.375704
29,Kacharakanahalli,4855,137.356726
30,Kadugondanahalli,5211,137.676756
31,Kushalnagar,3145,55.447731
32,Kavalbyrasandra,5575,119.65161
33,Manorayanapalya,2656,61.842865
34,Gangenahalli,2322,53.024765
35,Aramane Nagar,2949,78.241563
36,Mathikere,4135,87.519487
37,Yeshwanthpur,3203,62.124588
38,H.M.T,3651,142.55859
39,Chokkasandra,5789,137.460621
40,Doddabidirakalu,1,-2.00E-06
41,Peenya Industrial Area,7180,200.330235
42,Lakshmidevinagar,5139,110.827626
43,Nandini Layout,6435,157.265414
44,Marappanahalli,4440,125.935334
45,Malleshwaram,3652,110.049451
46,Jayachamarajendra Nagar,5315,194.482461
47,Devarajeevanahalli,3758,81.421968
48,Muneshwaranagar,2197,36.84481
49,Lingarajapura,5709,99.4827
50,Benniganahalli,5875,381.666539
51,Vijinapura,6182,133.152879
52,K.R.Puram,8774,160.446882
53,Basavanapura,7944,167.134908
54,Hoodi,5112,328.625894
55,Devasandra,3201,80.751933
56,A. Narayanapura,8394,227.52469
57,C.V. Ramannagar,3243,82.7016
58,Hosathippasandra,6018,155.931423
59,Maruthiseva Nagar,5620,164.620274
60,Sagayapuram,4413,97.762688
61,S.K. Garden,2885,82.263737
62,Ramaswamy palya,3129,78.322695
63,Jayamahal,3070,114.152557
64,Rajamahal,3692,89.709442
65,Kadumalleshwara,5601,158.470048
66,Subramanyanagar,4280,128.363623
