Ward number ,Ward Name,Number of Connections,Consumption in ML
1,Kempegowda Ward,4286,110.18
2,Chowdeshwari Ward,464,18.95
3,Attur,6362,169.50
4,Yelahanka Satellite town,7775,388.30
5,Jakkur,3887,106.89
6,Thanisandra,3984,65.66
7,Byatarayanapura,9718,289.89
8,Kodigehalli,5408,130.31
9,Vidyaranyapura,12951,390.71
10,Doddabommasandra,1865,26.87
11,Kuvempunagar,4500,59.51
12,Shettyhalli,8461,129.82
13,Mallasandra,4531,61.51
14,Bagalagunte,8793,213.01
14,sidedahalli,1586,43.47
15,T. Dasarahalli,4585,138.49
16,Jalahalli,3111,91.04
17,J.P.Park,5740,125.57
18,Radhakrishna Temple Ward,5516,95.92
19,Sanjaynagar,5823,84.67
20,Ganganagar,3338,69.96
21,Hebbal,7475,164.30
22,VishwanathNagenahalli,3287,78.15
23,Nagavara,9152,191.31
24,HBR Layout,8175,246.94
25,Horamavu,11889,148.35
26,Ramamurthynagar,9508,256.10
27,Banasawadi,9645,277.19
28,Kammanahalli,6632,175.17
29,Kacharakanahalli,4884,131.68
30,Kadugondanahalli,5123,133.41
31,Kushalnagar,3144,56.62
32,Kavalbyrasandra,5584,110.15
33,Manorayanapalya,2689,61.86
34,Gangenahalli,2322,49.56
35,Aramane Nagar,2968,78.35
36,Mathikere,4147,89.07
37,Yeshwanthpur,3218,61.00
38,H.M.T,3669,134.90
39,Chokkasandra,5856,130.50
40,Doddabidirakalu,1,0.00
41,Peenya Industrial Area,8500,204.85
42,Lakshmidevinagar,5146,109.61
43,Nandini Layout,6453,154.79
44,Marappanahalli,4442,119.93
45,Malleshwaram,3655,109.03
46,Jayachamarajendra Nagar,5326,169.07
47,Devarajeevanahalli,3754,79.74
48,Muneshwaranagar,2195,36.43
49,Lingarajapura,5745,97.06
50,Benniganahalli,5861,357.25
51,Vijinapura,6282,128.57
52,K.R.Puram,8899,184.17
53,Basavanapura,8436,215.80
54,Hoodi,5203,311.40
55,Devasandra,3299,97.57
56,A. Narayanapura,8419,225.67
57,C.V. Ramannagar,3273,82.29
58,Hosathippasandra,6021,152.11
59,Maruthiseva Nagar,5584,160.76
60,Sagayapuram,4265,96.82
61,S.K. Garden,2882,78.01
62,Ramaswamy palya,3128,79.08
63,Jayamahal,3080,130.06
64,Rajamahal,3694,90.74
65,Kadumalleshwara,5605,156.15
66,Subramanyanagar,4286,119.06
67,Nagapura,5798,175.67
68,Mahalakshmipuram,5099,121.64
69,Laggere,10212,240.89
70,Rajagopalanagar,8315,191.60
71,Hegganahalli,8666,232.06
72,herohalli,11017,223.10
73,Kottigepalya,8475,205.34
74,Shakthiganapathi nagar,6108,154.05
75,Shankaramata,5213,147.15
76,Gayathrinagar,4379,113.43
77,Dattathreya Temple,4480,115.06
78,Pulikeshinagar,3591,116.91
79,Sarvagnanagar,3443,77.39
80,Hoysalanagar,5460,154.14
81,Vignananagar,7086,201.94
82,Garudacharpalya,4372,164.22
83,Kadugodi,1038,41.13
84,Hagadooru,2016,108.06
85,Doddanekkundi,5686,315.64
85,Varthur,1643,85.34
86,Marathalli,4706,159.59
87,HAL Airport,4371,92.28
88,Jeevanbhimanagar,5999,144.95
89,Jogupalya,4065,128.50
90,Ulsoor,5613,315.13
91,Bharathinagar,2246,106.47
92,Shivajinagar,5148,212.20
93,Vasanthnagar,3736,244.68
94,Gandhinagar,4778,359.08
95,Subhashnagar,3091,62.17
96,Okalipuram,3419,147.62
97,Dayanandanagar,3500,85.35
98,Prakashnagar,3075,80.88
99,Rajajinagar,3937,115.42
100,Basaveshwaranagar,5771,167.03
101,Kamakshipalya,3684,91.52
102,Vrushabhavathi Nagar,4175,94.52
103,Kaveripura,5038,101.04
104,Govindrajnagara,2905,65.18
105,Agrahara Dasarahalli,3213,103.89
106,Dr. Rajkumar Ward,2472,83.20
107,Shivanagar,2454,91.37
108,Srirammandira ward,4679,120.23
109,Chikpet,5613,112.04
110,Sampangiramnagar,3014,132.59
111,Shanthala Nagar,3777,222.78
112,Dommalur,4776,211.73
113,Konena Agrahara,3939,116.07
114,Agaram,2927,145.99
115,Vannarpet,5171,108.79
116,Neelasandra,2646,63.31
117,Shanthinagar,6215,246.08
118,Sudamnagar,5143,97.94
119,Dharmarayaswamy Temple Ward,4981,99.63
120,Cottonpet,3075,63.80
121,Binnypet,4574,102.86
122,Kempapura Agrahara,3924,86.29
123,Vijaynagar,3626,87.94
124,Hosahalli,4511,111.97
125,Marenahalli,3416,87.45
126,Maruthi Mandira Ward,4024,97.18
127,Moodalapalya,5868,126.05
128,Nagarabhavi,10873,256.60
129,Jnanabharathi ward,13875,343.03
130,Ullalu,9172,197.49
131,Nayandanahalli,4372,115.10
132,Attiguppe,5487,156.65
133,Hampinagar,3033,77.25
134,Bapujinagar,4474,127.27
135,Padarayanapura,2031,70.72
136,Jagareevanram Nagar,4825,127.19
137,Rayapuram,3456,78.64
138,Chalavadipalya,2391,55.30
