Station,District LGD Code,District,State LGD Code,State
CHANWADA,461,Vadodara,24,Gujarat
Chitrasani -Duplicate,459,Surat,24,Gujarat
Derol Bridge,458,Sabarkantha,24,Gujarat
GADAT,459,Surat,24,Gujarat
Ganod,457,Rajkot,24,Gujarat
Garudeshwar,452,Narmada,24,Gujarat
Kamalpur ,455,Patan,24,Gujarat
Khanpur,440,Anand,24,Gujarat
Lowara,443,Bhavnagar,24,Gujarat
MAHUWA,459,Surat,24,Gujarat
MOTINAROLI,459,Surat,24,Gujarat
Narmada at Garudeshwar,452,Narmada,24,Gujarat
PINGALWADA,461,Vadodara,24,Gujarat
Shetrunji at Lowara,443,Bhavnagar,24,Gujarat
VAPI,462,Valsad,24,Gujarat
Vautha,450,Kheda,24,Gujarat
Abu Road,115,SIROHI,8,Rajasthan
Abu Road -Duplicate,115,SIROHI,8,Rajasthan
Aklera,105,JHALAWAR,8,Rajasthan
Banas at Abu Road,115,SIROHI,8,Rajasthan
Baranwada,113,SAWAI MADHOPUR,8,Rajasthan
Barod,109,KOTA,8,Rajasthan
Bigod,92,BHILWARA,8,Rajasthan
Chittorgarh,95,CHITTORGARH,8,Rajasthan
DHOLPUR,98,DHOLPUR,8,Rajasthan
Khatoli,109,KOTA,8,Rajasthan
Mandawara,109,KOTA,8,Rajasthan
Manderial,108,KARAULI,8,Rajasthan
Paderdibadi,99,DUNGARPUR,8,Rajasthan
Pali,113,SAWAI MADHOPUR,8,Rajasthan
Rangeli,99,DUNGARPUR,8,Rajasthan
Sangod,109,KOTA,8,Rajasthan
Tonk,116,TONK,8,Rajasthan
Andhiyarkhore,650,BEMETARA,22,Chhattisgarh
Bamnidhi,379,JANJGIR - CHAMPA,22,Chhattisgarh
Baronda,645,GARIABAND,22,Chhattisgarh
Basantpur,379,JANJGIR - CHAMPA,22,Chhattisgarh
Belodi,378,DURG,22,Chhattisgarh
Champa Road Bridge (CRB),379,JANJGIR - CHAMPA,22,Chhattisgarh
Ghatora,375,BILASPUR,22,Chhattisgarh
Ghatora - 1,375,BILASPUR,22,Chhattisgarh
Ghatora - 2,375,BILASPUR,22,Chhattisgarh
Gunderdehi,646,BALOD,22,Chhattisgarh
Jagdalpur,374,BASTAR,22,Chhattisgarh
Jondhra,375,BILASPUR,22,Chhattisgarh
KALMA,379,JANJGIR - CHAMPA,22,Chhattisgarh
Kanker,381,KANKER,22,Chhattisgarh
Kelo at Raigarh,386,RAIGARH,22,Chhattisgarh
Konta,642,SUKMA,22,Chhattisgarh
Korba,383,KORBA,22,Chhattisgarh
Korba - 1,383,KORBA,22,Chhattisgarh
Kotni,378,DURG,22,Chhattisgarh
Kurubhata,386,RAIGARH,22,Chhattisgarh
Madhya Bharat Paper Ltd (MBPL),379,JANJGIR - CHAMPA,22,Chhattisgarh
Manendragarh,384,KORIYA,22,Chhattisgarh
Nawapara,387,RAIPUR,22,Chhattisgarh
Pathagudem,636,BIJAPUR,22,Chhattisgarh
Pathardihi,387,RAIPUR,22,Chhattisgarh
Prakash Industries Ltd (PIL),379,JANJGIR - CHAMPA,22,Chhattisgarh
RAJIM,645,GARIABAND,22,Chhattisgarh
Rampur,644,BALODABAZAR,22,Chhattisgarh
Sarangpal ,381,KANKER,22,Chhattisgarh
Seorinarayan,379,JANJGIR - CHAMPA,22,Chhattisgarh
Simga,644,BALODABAZAR,22,Chhattisgarh
Annavasal,598,Karaikal,34,Puducherry
Kumarapalayam,600,Puducherry,34,Puducherry
Nallathur,598,Karaikal,34,Puducherry
Bhalukpong,242,WEST KAMENG,12,Arunachal Pradesh
Daporizo,241,UPPER SUBANSIRI,12,Arunachal Pradesh
Doimukh,237,PAPUM PARE,12,Arunachal Pradesh
Jollang ,237,PAPUM PARE,12,Arunachal Pradesh
Kabu basti (Kambang),243,WEST SIANG,12,Arunachal Pradesh
Lemeking,241,UPPER SUBANSIRI,12,Arunachal Pradesh
Miao,229,CHANGLANG,12,Arunachal Pradesh
Namsai,678,Namsai,12,Arunachal Pradesh
Passighat,232,EAST SIANG,12,Arunachal Pradesh
Seppa,231,EAST KAMENG,12,Arunachal Pradesh
Tezu,234,LOHIT,12,Arunachal Pradesh
Tuting,240,UPPER SIANG,12,Arunachal Pradesh
